Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,18985,17169.2,15517.5,20266.3,16911.5,20212.3
40,18969.2,17179.6,15517.1,20264.5,16901.3,20206.6
60,18984.6,17164.5,15508.9,20261.9,16921.9,20202.2
80,18988.7,17181.7,15508.7,20254.9,16914.2,20207.3
100,18997.4,17177.7,15524.1,20251.2,16917.5,20204.5
120,18985.3,17175.4,15513.6,20256.3,16934.1,20206.7
140,18981.7,17159.9,15525.3,20262.1,16919.6,20180.4
160,18974.8,17161.2,15515.9,20271.8,16900,20205
180,18997.6,17165.7,15510,20269.2,16907.2,20199.1
200,18997.6,17166.1,15507.4,20271,16914.7,20196
220,18983.4,17160.1,15505.7,20262.4,16908.6,20212.3
240,18972,17163.6,15501.4,20258.1,16920.3,20207
260,18993.9,17156.9,15500.6,20259.2,16910.1,20213.7
280,18973.9,17157.4,15508.8,20271,16920.8,20199.1
300,18969.8,17152.7,15499.7,20258.6,16914.6,20204.2
320,18968.2,17160.9,15497.9,20276.9,16911.2,20192.6
340,18967.9,17149.7,15509.7,20263.1,16904.7,20188.1
360,18963.3,17158,15494.4,20262.3,16913.1,20187.2
380,18967,17145.6,15494.4,20275.2,16921.6,20195.5
400,18967.7,17155.6,15509,20246.7,16924.1,20193.6
420,18957.6,17151.6,15496.9,20254.8,16915.9,20187.5
440,18963.4,17141.9,15489.5,20270.6,16921.2,20217.4
460,18975.9,17147.6,15499.3,20264.9,16923.7,20215
480,18974,17154.4,15486.1,20271.3,16923.9,20200.3
500,18953.5,17147.3,15480.5,20265.7,16909.1,20191.8
520,18949,17146.7,15481.1,20274.3,16924.2,20189.3
540,18945.6,17151.7,15485.6,20275.7,16927.7,20193.4
560,18958.7,17153.3,15477.9,20266.1,16923.8,20192
580,18968.4,17167.8,15482.9,20262.2,16913.7,20191.6
600,18970.8,17153.1,15482.4,20288.8,16920.3,20188.2
620,18971.5,17163.6,15489,20260.8,16931.7,20207.4
640,18968.5,17158.5,15488.7,20250.1,16921.1,20189.1
660,18967.2,17150.1,15487.6,20256.9,16917.3,20204.1
680,18961.1,17139.2,15471.4,20249.4,16922.4,20193.1
