Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,21260.8,19577.5,18347.4,28263.6,26708.2,27158.9
40,21256.3,19575,18321.7,28210.1,26698.1,27165.9
60,21257.6,19602.1,18311.6,28266.1,26680.5,27156.4
80,21235.9,19580.6,18323.4,28248.5,26696.3,27143
100,21244.2,19583.6,18316,28237.8,26704.3,27142.5
120,21238.4,19575,18306.4,28220.5,26654,27142.2
140,21252.4,19574.2,18305.8,28184.4,26692,27171
160,21247.7,19580.7,18323.1,28218.5,26694.7,27150.7
180,21261.5,19577.1,18308.5,28220.4,26691.1,27137.7
200,21236.1,19580.8,18311.5,28196.8,26668.6,27119.7
220,21241.8,19581.1,18280.3,28210.8,26664,27115.2
240,21248.7,19576.2,18309.8,28202.4,26674.3,27087.8
260,21227.5,19568.7,18294.9,28187.4,26645.3,27080
280,21233.2,19577,18296.9,28158,26610,27086.6
300,21226.5,19544.1,18281.9,28176.3,26647,27052.3
320,21231.8,19548.3,18282.9,28171.3,26632,27071.2
340,21222.1,19568,18288.5,28196.1,26634.6,27098.2
360,21235,19544.9,18310.6,28170.1,26614.9,27103
380,21229,19551.1,18287.2,28172.5,26599.8,27116.1
400,21213.5,19549.9,18286.8,28136.7,26596.7,27073.7
420,21237.9,19544.8,18275.4,28142.8,26595.5,27072.2
440,21211.7,19546.1,18273.4,28147,26609.4,27068
460,21223.3,19548.1,18295.4,28142.1,26588,27067
480,21218.2,19541.7,18267.2,28160.7,26604.5,27083.2
500,21220.6,19550.9,18272,28130.3,26609.1,27057.2
520,21212,19552.4,18273.5,28105.7,26606.8,27038.9
540,21195.5,19546.8,18265.5,28104.9,26590.9,27040.3
560,21225.3,19559.4,18276.8,28120.2,26600.5,27067.3
580,21214.9,19543.9,18270.4,28111.8,26576.3,27030.7
600,21212.5,19551.7,18252.7,28085,26585.8,27045.7
620,21197.8,19534.1,18258.7,28099.8,26566.4,27050.1
640,21219.1,19544.3,18239.8,28096.9,26586.8,27067.4
660,21200.5,19550.5,18261.8,28108.3,26596.7,27051.2
680,21206.6,19529.9,18256.6,28104,26588,27044
700,21201.2,19546.6,18240.3,28099.7,26578.6,27032.7
720,21206.3,19546.3,18245.6,28114.4,26581.1,27035.4
740,21192,19542.5,18247.8,28087,26560.3,27038.7
760,21208,19549.7,18249,28094.1,26578.6,27037.2
780,21209.3,19554.5,18251.6,28093.3,26571.5,27021.9
800,21205.2,19541,18270.3,28092.5,26556.5,27007.7
820,21219.7,19550.3,18265.9,28070.4,26566.2,27011.4
840,21219.4,19553.6,18247.8,28079.2,26563.2,27013.1
860,21219.7,19553.6,18249.7,28048.3,26543.7,27005
880,21206.3,19539.3,18245.4,28100.9,26530.4,26989.7
900,21192.5,19541,18246.2,28092.4,26548.7,26974
920,21218,19530.6,18252.4,28081.9,26536.2,26986.3
940,21199.6,19532,18239.1,28109,26529.4,26982.7
960,21188.6,19527.5,18234.9,28105.8,26549.8,26972.4
980,21212.9,19513.9,18252.2,28107.8,26533,27009.1
1000,21176,19531.2,18255.1,28090.8,26526.2,27010.6
1020,21167.5,19525.3,18246.5,28115.3,26537.2,26999.7
1040,21167.5,19525.3,18244.2,28103.4,26529.2,26990.3
1060,21180.5,19508.9,18232.9,28107.3,26538.8,26988.9
1080,21166.4,19515.3,18221.3,28106.1,26525.1,26983.4
1100,21199.1,19534.2,18225.1,28113.3,26533.6,26994
1120,21180.1,19515.6,18232.1,28087.8,26528.7,26971.2
1140,21187.7,19516.1,18240.9,28064.2,26533.2,26995
1160,21169.2,19491.2,18239.7,28119.5,26496.1,26982.1
1180,21162.9,19511.1,18252.8,28070.9,26514.7,27010.6
1200,21161.9,19499,18235.5,28088.5,26512.2,26996.7
1220,21315.8,19670.2,18408.9,28340.7,26839.8,27377.8
1240,21643,19965.6,18674.8,28802.9,27344.6,27780.4
1260,21834.3,20143.9,18845.4,28991,27531.4,27979.8
1280,21937,20231.2,18977.1,29094.4,27655.2,28143.2
1300,22029.8,20344.9,19059.3,29171.7,27721.9,28217.1
1320,22104.5,20410.2,19127.8,29189.6,27786.5,28293.2
1340,22174,20451.1,19166,29198.1,27854.9,28361.3
1360,22223.2,20527.2,19227,29252.1,27883,28393
1380,22252.1,20525.5,19241.3,29298.7,27947.5,28418.2
1400,22294.4,20560.8,19276.3,29363.6,27978.4,28411.8
1420,22319.3,20600.4,19299.8,29383.7,27966.8,28494.8
1440,22379.2,20627.5,19334.3,29422.5,28009.4,28459.2
1460,22385,20648.2,19361.7,29404.9,28014.6,28521.7
1480,22397.8,20664.3,19406,29450.3,28059.3,28548.3
1500,22396.7,20669,19409.9,29430.6,28100.6,28579.1
1520,22443.2,20705.6,19434.7,29429.2,28147.9,28598.7
1540,22441,20755.4,19459.6,29465,28111.2,28612
1560,22470.4,20753.3,19483.5,29450.8,28124.1,28613.2
1580,22449.3,20772.1,19493.7,29469.7,28134.1,28656.2
1600,22518.2,20829.7,19505.5,29479.9,28151.7,28684.3
1620,22503.6,20812.5,19525.8,29520.1,28211.4,28729.9
1640,22536.7,20834,19552.7,29524.7,28211.2,28721.6
1660,22539,20837.9,19567.3,29552,28203.8,28725
1680,22572.4,20876.8,19553.8,29551.7,28211.8,28740.6
1700,22570,20900.6,19591.4,29609.9,28228.3,28723
1720,22585,20916.1,19618.2,29634.4,28225.6,28769
1740,22617.8,20918.5,19618.1,29604.1,28238.2,28789.5
1760,22597.4,20947,19619.6,29668,28289.9,28787.6
1780,22625.7,20957.6,19645,29650,28290.6,28779.2
1800,22609.9,20984.7,19659.4,29654.2,28313.7,28739.9
1820,22600.7,20992.7,19656.8,29664.6,28327.5,28811.7
1840,22648.1,21010.6,19676.4,29682.5,28345.9,28803.8
1860,22631.9,20986.7,19671,29710.4,28315.4,28809.2
1880,22632.7,20996.1,19693.8,29745.7,28357.3,28837.3
1900,22678.2,21025.4,19728.9,29763,28424.1,28847.5
1920,22681.1,21037.1,19720.6,29762.2,28367.8,28821.9
1940,22682.4,21046.1,19728.7,29753.9,28390.7,28873.9
1960,22723,21064.1,19733.5,29757.1,28407.7,28877.2
1980,22703.6,21054.6,19745.9,29757.7,28407.7,28877.2
2000,22719.2,21098.3,19758,29748.6,28407.8,28944.6
2020,22729.6,21087.2,19760,29756.6,28422.6,28934.1
2040,22732.5,21098.1,19758.8,29793.4,28450.4,28944.6
2060,22772.5,21094.8,19770.3,29783.8,28453,28953.5
2080,22768.3,21116.1,19773.7,29784.6,28445.7,28996.8
2100,22765.8,21119.1,19786.3,29841.6,28458.8,28989.4
2120,22769.9,21127.5,19784.6,29800,28487.2,29004.1
2140,22776.8,21132.1,19798.2,29809.5,28481.9,29010.4
2160,22814.8,21148.1,19796.7,29784,28492.1,29034.5
2180,22821.7,21154,19827.2,29841.3,28507.9,29013.2
2200,22812.4,21167.6,19839.6,29879.4,28501.4,29002
2220,22826.9,21194.3,19827.8,29903.5,28512.2,29069.8
2240,22828,21192.8,19836.1,29909.3,28544.6,29067.7
2260,22802.6,21205.9,19859,29904,28535.3,29048.9
2280,22843.1,21203,19863,29960.1,28589.8,29085.6
2300,22851.3,21200.2,19852.1,29919.5,28585.1,29112.5
2320,22885.7,21207.9,19854.6,29919.2,28546.2,29073.3
2340,22856.2,21197.6,19885.2,29958.7,28586.2,29100.8
2360,22883.1,21229,19870.1,29949.1,28565.8,29103.3
2380,22906.7,21210.5,19895.9,29945.2,28574.4,29114.3
2400,22902.2,21207,19895.3,29978,28589.9,29120.1
2420,22724.3,21001.4,19662.1,29738.7,28293.1,28760.1
2440,22401.9,20664.2,19338.8,29333.4,27819.6,28305.9
2460,22231.9,20493.3,19199.2,29165.4,27670.1,28099.1
2480,22115.9,20381.8,19095.8,29055.4,27566.8,28008.7
2500,22053.9,20336.4,19011.4,29026.7,27497.3,27927.8
2520,21984.9,20258.5,18957.3,28962.5,27408.7,27878.8
2540,21933.8,20210.9,18923.7,28939.9,27396.1,27826.8
2560,21886.8,20173.6,18868.2,28883.6,27360.9,27803.8
