Time,HA_MISG1,HpA_MISG1,HA_MISG2,HpA_MISG2,HA_MISG3,HpA_MISG3,HA_MISG4,HpA_MISG4,HA_MISG5,HpA_MISG5,HA_MISG6,HpA_MISG6,HA_MISG7,HpA_MISG7,HA_MISG8,HpA_MISG8,HA_MISG9,HpA_MISG9
20.0,21000.8,28377.4,21260.8,28263.6,21415.2,28488.5,21446.7,28728.9,21613.9,28863.7,20842.4,17869.4,21079.3,17888.7,21292.0,18202.4,21451.2,18276.5
40.0,20987.2,28376.3,21256.3,28210.1,21417.8,28502.0,21455.3,28682.9,21629.8,28879.5,20847.8,17856.6,21060.0,17890.4,21282.4,18211.2,21463.4,18271.3
60.0,21011.6,28342.6,21257.6,28266.1,21429.0,28491.1,21473.0,28688.0,21606.9,28893.3,20814.0,17856.7,21045.0,17888.2,21280.9,18222.8,21456.5,18282.1
80.0,20983.6,28341.2,21235.9,28248.5,21402.7,28490.8,21444.6,28649.5,21604.2,28906.3,20808.6,17831.7,21046.4,17878.6,21266.5,18215.5,21462.7,18293.8
100.0,21002.5,28319.2,21244.2,28237.8,21404.3,28455.3,21445.0,28666.6,21603.5,28869.5,20793.6,17823.5,21052.0,17880.8,21269.6,18212.8,21461.7,18270.3
120.0,20979.2,28307.2,21238.4,28220.5,21419.9,28475.0,21463.7,28702.1,21596.3,28847.5,20767.6,17819.2,21061.0,17887.7,21263.9,18207.1,21438.5,18251.2
140.0,20995.6,28278.9,21252.4,28184.4,21437.0,28466.5,21469.6,28707.6,21613.8,28874.5,20779.3,17806.4,21067.2,17883.6,21272.4,18215.3,21453.3,18254.6
160.0,21000.0,28270.3,21247.7,28218.5,21405.8,28498.2,21452.7,28661.1,21584.5,28880.0,20777.0,17809.2,21075.9,17872.4,21266.0,18219.8,21474.6,18259.9
180.0,21001.1,28270.9,21261.5,28220.4,21405.1,28484.6,21452.7,28672.8,21589.0,28875.7,20768.5,17793.9,21055.3,17895.5,21248.7,18215.9,21437.4,18243.3
200.0,20996.5,28280.1,21236.1,28196.8,21394.3,28469.5,21436.5,28654.4,21591.1,28839.4,20765.7,17790.2,21065.0,17888.1,21274.2,18204.5,21435.6,18259.6
220.0,21001.0,28212.6,21241.8,28210.8,21401.1,28454.6,21456.8,28704.0,21597.4,28844.6,20782.6,17795.1,21043.6,17877.7,21268.9,18210.6,21442.9,18271.4
240.0,20973.6,28228.5,21248.7,28202.4,21390.8,28442.2,21454.3,28679.9,21579.5,28853.9,20765.0,17778.9,21036.4,17883.7,21262.8,18214.4,21442.4,18264.1
260.0,20975.1,28211.9,21227.5,28187.4,21390.7,28459.0,21437.9,28674.4,21594.8,28831.3,20764.4,17773.0,21055.2,17874.5,21291.2,18216.7,21422.5,18241.9
280.0,20976.5,28208.4,21233.2,28158.0,21390.9,28448.8,21425.5,28684.6,21579.7,28799.5,20742.3,17786.2,21033.6,17865.1,21270.5,18208.9,21459.4,18255.1
300.0,20960.7,28209.8,21226.5,28176.3,21384.3,28458.7,21441.0,28670.8,21602.7,28834.7,20756.1,17765.2,21049.8,17871.6,21276.9,18199.4,21444.8,18246.9
320.0,20968.8,28200.6,21231.8,28171.3,21413.6,28468.4,21426.4,28651.8,21595.0,28798.9,20744.0,17777.7,21035.5,17879.5,21283.5,18214.1,21471.0,18247.3
340.0,20964.5,28215.7,21222.1,28196.1,21420.6,28435.2,21435.6,28655.8,21575.1,28815.8,20739.2,17754.6,21036.3,17863.7,21275.8,18192.0,21442.4,18236.5
360.0,20982.4,28188.6,21235.0,28170.1,21384.5,28441.3,21430.4,28642.4,21573.6,28815.9,20731.3,17777.8,21038.1,17870.8,21275.1,18209.2,21429.1,18217.3
380.0,20967.4,28171.9,21229.0,28172.5,21373.6,28429.1,21420.7,28640.9,21585.1,28796.4,20742.7,17768.5,21045.5,17873.7,21284.1,18194.8,21440.8,18221.4
400.0,20965.5,28195.0,21213.5,28136.7,21399.3,28456.5,21416.3,28638.7,21569.3,28796.3,20736.0,17756.8,21038.2,17881.4,21284.4,18199.0,21439.6,18230.9
420.0,20971.0,28157.6,21237.9,28142.8,21386.3,28456.1,21434.0,28663.1,21575.6,28780.9,20747.7,17753.0,21032.3,17879.6,21244.4,18193.0,21426.1,18237.3
440.0,20969.8,28165.7,21211.7,28147.0,21392.3,28455.7,21423.9,28655.2,21565.5,28805.3,20726.0,17764.5,21048.5,17875.6,21271.6,18204.0,21428.6,18228.0
460.0,20960.8,28141.0,21223.3,28142.1,21376.1,28456.1,21438.4,28651.8,21578.0,28813.1,20724.9,17750.9,21034.2,17859.2,21269.5,18201.8,21426.9,18224.7
480.0,20978.0,28127.5,21218.2,28160.7,21372.4,28457.0,21423.4,28626.1,21582.9,28793.8,20735.8,17738.8,21039.5,17869.0,21262.7,18188.2,21403.1,18228.0
500.0,20962.1,28132.7,21220.6,28130.3,21357.6,28445.9,21418.1,28664.7,21576.9,28820.5,20743.0,17748.0,21035.9,17856.4,21253.4,18201.6,21406.8,18239.6
520.0,20958.0,28142.3,21212.0,28105.7,21341.5,28469.7,21425.3,28615.0,21573.8,28825.3,20726.0,17735.3,21046.5,17860.0,21233.0,18211.6,21400.6,18242.5
540.0,20972.4,28133.3,21195.5,28104.9,21360.2,28454.9,21420.8,28639.7,21571.1,28809.2,20740.1,17730.0,21045.3,17867.3,21235.5,18194.7,21417.2,18213.7
560.0,20959.5,28118.3,21225.3,28120.2,21388.6,28411.6,21431.9,28646.0,21582.6,28790.7,20736.3,17747.2,21022.5,17868.1,21253.9,18182.5,21410.1,18217.8
580.0,20950.0,28117.8,21214.9,28111.8,21358.1,28424.9,21448.3,28640.9,21596.6,28766.0,20732.0,17728.8,21012.6,17840.0,21251.1,18200.0,21432.4,18224.8
600.0,20966.7,28095.3,21212.5,28085.0,21382.4,28442.7,21422.8,28622.4,21570.6,28772.5,20724.8,17738.8,21030.6,17859.4,21252.2,18211.0,21420.3,18221.2
620.0,20946.6,28080.9,21197.8,28099.8,21351.5,28453.0,21417.0,28645.6,21587.4,28759.7,20725.2,17734.5,21020.9,17859.4,21252.9,18203.5,21402.3,18208.8
640.0,20964.6,28097.8,21219.1,28096.9,21345.6,28429.6,21424.4,28645.2,21575.1,28758.3,20731.7,17721.3,21020.9,17853.0,21254.3,18195.9,21418.4,18216.6
660.0,20953.2,28081.1,21200.5,28108.3,21358.1,28428.5,21430.3,28624.4,21561.2,28778.3,20738.1,17726.9,21004.2,17852.4,21236.0,18186.6,21437.0,18210.7
680.0,20951.6,28107.7,21206.6,28104.0,21356.1,28439.7,21422.2,28647.2,21576.2,28776.8,20742.8,17713.2,21008.5,17848.2,21242.0,18186.0,21417.1,18193.6
700.0,20942.3,28078.2,21201.2,28099.7,21371.4,28407.3,21418.4,28655.0,21558.2,28736.9,20733.2,17713.7,21018.0,17852.7,21265.0,18191.9,21424.3,18209.0
720.0,20932.8,28106.8,21206.3,28114.4,21371.3,28451.5,21440.3,28629.7,21566.1,28771.3,20731.5,17718.8,21027.5,17840.0,21258.3,18202.9,21392.9,18199.6
740.0,20939.7,28056.4,21192.0,28087.0,21369.2,28420.7,21424.7,28634.8,21574.9,28761.8,20722.5,17729.8,21012.0,17865.4,21251.7,18193.3,21391.1,18207.2
760.0,20953.4,28058.2,21208.0,28094.1,21373.6,28406.3,21412.0,28606.7,21581.8,28768.0,20742.1,17719.5,21045.6,17864.7,21232.7,18192.1,21402.5,18202.8
780.0,20953.2,28054.5,21209.3,28093.3,21382.8,28411.2,21418.2,28572.8,21552.0,28785.0,20707.2,17716.6,21050.5,17852.1,21250.6,18177.8,21389.7,18188.2
800.0,20940.5,28033.8,21205.2,28092.5,21363.3,28390.5,21401.1,28615.1,21560.3,28776.8,20715.5,17712.6,21011.9,17857.0,21240.4,18191.0,21375.8,18203.5
820.0,20948.8,28060.0,21219.7,28070.4,21372.1,28404.2,21402.3,28609.7,21546.1,28775.5,20743.8,17717.0,21009.7,17848.8,21250.8,18169.5,21415.9,18205.1
840.0,20954.3,28084.0,21219.4,28079.2,21371.0,28410.3,21386.7,28627.4,21567.7,28766.2,20725.9,17718.6,21010.0,17864.2,21219.5,18180.4,21388.3,18178.3
860.0,20947.1,28052.9,21219.7,28048.3,21364.2,28390.6,21411.3,28607.6,21562.0,28768.9,20707.1,17704.9,21008.8,17858.1,21233.3,18175.2,21392.2,18157.4
880.0,20947.7,28043.3,21206.3,28100.9,21376.3,28414.0,21417.0,28621.2,21568.8,28756.7,20700.6,17706.2,21019.8,17854.0,21243.4,18171.0,21396.7,18172.4
900.0,20950.1,28069.9,21192.5,28092.4,21368.0,28397.1,21375.5,28593.3,21573.4,28739.4,20711.8,17713.9,21002.5,17852.0,21240.6,18181.8,21375.6,18193.1
920.0,20949.6,28025.6,21218.0,28081.9,21368.9,28416.7,21403.9,28587.4,21552.3,28754.0,20714.8,17701.0,21013.0,17853.7,21230.4,18175.9,21386.7,18167.9
940.0,20949.6,28042.2,21199.6,28109.0,21367.5,28402.0,21378.0,28603.5,21539.1,28735.4,20730.3,17700.3,21011.1,17856.3,21219.1,18171.1,21353.1,18145.9
960.0,20937.1,28054.0,21188.6,28105.8,21364.6,28402.5,21393.5,28580.1,21547.9,28764.3,20710.8,17710.2,21004.6,17853.4,21243.6,18179.1,21360.2,18174.2
980.0,20930.7,28011.2,21212.9,28107.8,21352.0,28389.5,21390.5,28577.9,21548.8,28760.1,20702.8,17695.2,20985.7,17842.9,21238.4,18170.4,21375.3,18184.8
1000.0,20930.1,28041.6,21176.0,28090.8,21387.6,28397.3,21401.4,28587.2,21552.4,28749.2,20699.9,17711.2,21004.2,17841.4,21261.0,18191.2,21371.2,18184.0
1020.0,20914.8,28052.1,21167.5,28115.3,21351.6,28355.6,21436.6,28581.9,21542.4,28744.5,20725.4,17693.0,21004.8,17835.7,21248.4,18184.6,21385.9,18170.2
1040.0,20942.6,28037.6,21167.5,28103.4,21354.2,28395.5,21399.4,28607.6,21544.4,28732.7,20727.7,17689.2,21012.5,17843.5,21244.2,18189.8,21389.7,18176.2
1060.0,20935.1,28043.1,21180.5,28107.3,21371.2,28365.5,21396.7,28590.5,21551.8,28745.6,20725.1,17687.1,21003.9,17836.1,21250.1,18175.8,21376.3,18171.3
1080.0,20942.5,28059.7,21166.4,28106.1,21363.0,28368.3,21393.5,28600.4,21536.4,28749.6,20713.4,17702.9,20987.6,17831.9,21237.9,18166.7,21363.9,18172.5
1100.0,20945.3,27998.4,21199.1,28113.3,21338.4,28366.2,21396.3,28588.3,21538.5,28753.3,20708.6,17676.7,21001.6,17843.1,21254.4,18150.5,21363.0,18172.2
