Time,HA_MISG1,HpA_MISG1,HA_MISG2,HpA_MISG2,HA_MISG3,HpA_MISG3,HA_MISG4,HpA_MISG4,HA_MISG5,HpA_MISG5,HA_MISG6,HpA_MISG6,HA_MISG7,HpA_MISG7,HA_MISG8,HpA_MISG8,HA_MISG9,HpA_MISG9
20.0,16159.1,9452.69,16323.0,9486.64,16398.0,9536.3,16430.5,9577.07,16532.7,9661.53,18054.3,19504.5,18073.0,19780.4,18170.7,19873.9,18257.4,19974.9
40.0,16143.7,9430.04,16301.4,9501.73,16362.3,9536.69,16433.4,9578.3,16524.6,9656.53,18065.0,19542.3,18073.0,19785.0,18159.3,19876.4,18252.9,19978.7
60.0,16119.2,9425.56,16303.2,9499.82,16383.3,9521.96,16432.8,9583.65,16517.1,9660.69,18030.2,19545.0,18065.5,19792.7,18166.5,19871.1,18253.4,19984.2
80.0,16120.4,9425.35,16308.3,9502.83,16367.2,9532.85,16427.1,9583.07,16516.0,9664.89,17881.0,19560.1,18068.7,19789.1,18169.6,19840.4,18235.7,19986.6
100.0,16120.0,9427.42,16295.8,9499.84,16364.8,9533.83,16430.3,9575.33,16527.0,9665.58,17792.2,19569.2,18068.2,19781.1,18168.8,19866.9,18247.6,19965.8
120.0,16109.4,9424.31,16306.6,9495.33,16373.5,9532.2,16429.4,9575.61,16515.5,9662.29,17786.4,19579.6,18078.7,19763.4,18150.2,19863.9,18231.7,19973.5
140.0,16113.3,9424.92,16292.1,9502.77,16365.1,9528.38,16425.1,9576.71,16507.9,9651.02,17758.1,19575.9,18049.9,19783.2,18163.0,19880.0,18226.4,19963.5
160.0,16114.2,9422.19,16290.8,9498.29,16369.9,9530.59,16426.6,9579.09,16527.2,9658.96,17766.5,19579.8,18069.9,19778.1,18176.0,19865.8,18233.5,19968.9
180.0,16109.9,9434.29,16291.3,9502.09,16359.4,9530.82,16415.9,9581.87,16519.2,9657.99,17763.4,19568.2,18061.0,19774.7,18154.9,19864.9,18240.1,19974.3
200.0,16113.6,9432.93,16292.7,9498.46,16375.4,9538.16,16423.6,9577.57,16516.9,9653.82,17766.2,19561.2,18071.4,19778.4,18173.6,19879.7,18236.9,19972.9
220.0,16133.2,9437.99,16288.9,9497.23,16360.6,9528.76,16428.3,9577.47,16527.3,9657.06,17764.0,19578.7,18053.9,19774.5,18157.9,19885.3,18238.4,19978.6
240.0,16121.0,9431.27,16266.0,9503.73,16366.2,9523.74,16430.4,9569.64,16511.3,9655.44,17750.6,19568.8,18061.4,19759.4,18165.3,19877.9,18230.6,19954.2
260.0,16119.1,9425.8,16271.6,9501.69,16361.6,9522.39,16431.8,9577.08,16510.5,9660.56,17761.0,19569.0,18059.9,19758.8,18163.6,19865.9,18222.2,19976.2
280.0,16114.7,9425.15,16286.2,9503.4,16370.7,9524.88,16411.7,9573.12,16524.6,9657.75,17771.7,19564.2,18041.3,19763.8,18154.4,19867.1,18224.8,19964.6
300.0,16119.3,9426.34,16277.6,9503.09,16374.8,9519.05,16412.6,9577.82,16501.9,9658.21,17767.1,19558.7,18062.4,19758.8,18160.9,19876.7,18207.8,19950.9
320.0,16116.4,9428.45,16266.2,9496.38,16354.2,9524.94,16411.5,9576.51,16509.8,9652.95,17763.8,19581.2,18065.8,19753.9,18146.9,19884.2,18212.1,19957.3
340.0,16115.2,9431.94,16288.0,9495.0,16368.7,9526.35,16400.7,9573.32,16502.3,9658.38,17767.8,19565.9,18063.5,19783.0,18160.0,19882.9,18217.3,19961.5
360.0,16109.7,9431.57,16271.3,9498.71,16366.0,9519.55,16398.2,9583.46,16497.8,9660.06,17763.8,19589.5,18041.9,19759.8,18147.2,19867.9,18213.7,19957.3
380.0,16095.7,9430.81,16267.6,9501.59,16350.0,9519.55,16404.5,9574.84,16510.4,9659.77,17770.6,19579.9,18066.9,19762.8,18154.9,19848.6,18216.1,19965.7
400.0,16100.8,9433.98,16275.9,9500.11,16349.2,9525.81,16399.8,9574.8,16495.8,9660.59,17778.9,19561.8,18054.7,19773.0,18148.5,19848.3,18218.2,19965.1
420.0,16103.4,9430.8,16276.6,9504.46,16349.6,9520.77,16407.3,9569.76,16497.8,9656.56,17774.2,19580.2,18065.6,19749.7,18160.2,19865.0,18222.1,19942.4
440.0,16099.7,9427.61,16276.6,9504.68,16337.8,9519.83,16398.9,9579.01,16471.0,9661.19,17780.2,19580.0,18060.6,19755.9,18167.2,19855.7,18203.8,19949.3
460.0,16088.5,9436.45,16290.2,9497.49,16345.5,9523.89,16417.9,9571.51,16491.6,9654.75,17774.5,19559.4,18051.8,19749.8,18153.3,19834.6,18221.8,19944.6
480.0,16092.7,9434.42,16267.4,9494.28,16351.9,9523.52,16402.5,9567.99,16493.0,9660.69,17786.3,19586.2,18056.4,19750.8,18163.4,19838.8,18224.7,19927.4
500.0,16090.8,9436.21,16262.6,9501.66,16331.4,9520.07,16399.5,9573.79,16467.8,9661.02,17773.7,19578.4,18053.5,19755.8,18164.9,19857.7,18212.9,19915.6
520.0,16086.5,9433.41,16267.6,9503.01,16342.9,9523.4,16393.5,9568.4,16479.4,9658.12,17770.8,19586.1,18066.3,19758.1,18156.9,19835.3,18215.9,19946.5
540.0,16099.5,9434.16,16279.8,9502.14,16338.2,9513.81,16393.1,9565.35,16464.6,9658.29,17788.8,19581.5,18061.8,19759.3,18136.1,19837.1,18219.4,19930.2
560.0,16101.2,9435.75,16257.4,9507.94,16332.8,9516.19,16376.0,9574.52,16458.5,9661.19,17784.3,19592.1,18046.1,19754.0,18148.1,19844.2,18211.1,19942.0
580.0,16086.8,9433.13,16256.8,9500.6,16327.4,9514.41,16387.9,9576.19,16460.2,9657.75,17771.6,19598.3,18056.0,19763.2,18130.2,19846.7,18212.9,19939.7
600.0,16085.4,9426.09,16276.6,9495.29,16328.8,9512.6,16378.2,9569.51,16468.4,9662.52,17771.9,19596.2,18061.1,19769.8,18151.6,19858.0,18216.3,19922.2
620.0,16071.6,9425.64,16255.0,9494.78,16333.5,9520.25,16391.4,9575.93,16465.0,9665.58,17778.2,19581.5,18060.7,19751.2,18135.3,19848.3,18217.1,19948.8
640.0,16081.2,9428.57,16261.7,9495.11,16316.2,9514.43,16399.6,9575.36,16483.8,9658.83,17776.3,19587.4,18063.0,19755.0,18130.1,19834.0,18197.9,19935.8
660.0,16097.6,9424.4,16263.2,9491.43,16332.4,9511.95,16398.4,9579.13,16482.3,9660.97,17779.3,19586.5,18070.2,19762.0,18143.5,19840.3,18213.7,19938.9
680.0,16076.5,9425.97,16255.4,9499.63,16324.4,9519.33,16364.7,9574.1,16472.8,9665.01,17767.0,19568.7,18069.3,19736.8,18123.0,19849.1,18208.6,19930.6
700.0,16096.6,9426.71,16277.3,9493.1,16319.7,9516.02,16383.9,9583.14,16469.1,9673.55,17766.6,19563.9,18060.5,19773.0,18137.6,19838.7,18211.4,19930.6
720.0,16089.1,9428.35,16272.6,9502.26,16331.3,9516.75,16386.6,9571.49,16453.8,9661.32,17763.5,19581.2,18056.3,19775.5,18118.3,19839.5,18224.5,19927.9
740.0,16089.1,9427.24,16257.5,9500.89,16320.5,9515.28,16391.6,9572.76,16470.5,9654.86,17772.0,19566.3,18056.9,19767.6,18145.1,19830.4,18190.3,19932.5
760.0,16100.3,9432.14,16258.0,9498.76,16331.4,9516.39,16394.5,9580.95,16472.3,9657.06,17776.5,19580.9,18070.2,19761.4,18127.2,19824.4,18189.4,19927.5
780.0,16087.8,9428.95,16267.6,9492.5,16329.8,9513.5,16379.1,9571.71,16463.6,9663.63,17794.3,19579.6,18074.3,19761.5,18136.8,19831.6,18190.7,19927.3
800.0,16099.5,9434.94,16268.0,9500.76,16334.2,9512.42,16370.3,9576.29,16483.1,9668.7,17787.6,19572.6,18059.8,19760.1,18130.1,19842.2,18207.2,19924.0
820.0,16094.6,9439.7,16260.8,9496.49,16311.9,9517.29,16389.0,9578.83,16471.4,9667.21,17795.8,19554.4,18055.4,19765.7,18128.6,19842.2,18207.1,19934.3
840.0,16099.9,9433.0,16248.4,9493.83,16298.4,9514.44,16377.7,9577.07,16459.5,9664.15,17780.7,19549.9,18044.3,19743.6,18123.4,19827.2,18189.0,19937.8
860.0,16100.4,9433.7,16260.5,9493.9,16291.8,9511.46,16371.4,9572.55,16454.7,9658.96,17786.6,19572.7,18040.9,19766.7,18107.2,19828.6,18205.6,19923.8
880.0,16092.8,9437.99,16254.1,9500.09,16306.0,9510.37,16374.8,9575.45,16448.2,9656.24,17800.9,19556.7,18050.6,19755.5,18129.8,19840.1,18205.9,19919.3
900.0,16090.2,9438.51,16244.6,9495.07,16300.3,9510.92,16378.3,9572.98,16470.3,9653.37,17800.9,19557.9,18053.0,19748.7,18123.3,19830.7,18208.8,19917.4
920.0,16097.3,9432.9,16256.5,9498.86,16306.8,9509.1,16365.5,9576.45,16460.9,9655.89,17792.1,19558.6,18052.0,19758.3,18121.5,19836.3,18182.4,19921.0
940.0,16092.9,9432.48,16261.0,9499.95,16295.2,9509.91,16375.7,9574.85,16458.5,9661.67,17798.8,19564.9,18061.0,19757.9,18117.3,19840.8,18182.4,19925.7
960.0,16080.9,9430.67,16253.6,9505.24,16298.9,9514.65,16367.6,9580.89,16442.9,9668.74,17790.8,19557.8,18049.7,19743.4,18128.8,19828.5,18181.6,19919.5
980.0,16092.2,9438.5,16264.3,9497.68,16281.3,9506.54,16368.0,9570.79,16464.6,9669.21,17784.0,19561.0,18052.3,19752.7,18116.1,19834.3,18181.6,19914.6
1000.0,16085.5,9432.94,16250.3,9495.45,16292.4,9520.51,16369.3,9577.06,16457.5,9667.75,17795.6,19564.5,18054.4,19757.9,18112.9,19851.9,18171.4,19915.0
1020.0,16091.9,9434.05,16245.3,9500.58,16292.3,9516.16,16357.1,9579.38,16462.6,9663.6,17793.0,19575.9,18034.0,19737.3,18121.8,19841.6,18194.5,19922.4
1040.0,16084.3,9432.03,16246.0,9496.23,16290.1,9513.56,16349.3,9579.56,16467.0,9664.67,17794.2,19563.0,18043.4,19750.4,18120.5,19844.6,18196.7,19912.0
1060.0,16093.6,9433.55,16262.6,9496.87,16296.2,9514.27,16368.1,9574.38,16473.4,9664.83,17799.0,19562.7,18033.1,19739.0,18149.3,19847.0,18202.1,19913.4
1080.0,16084.3,9434.55,16264.4,9494.06,16294.6,9514.92,16367.9,9578.43,16470.1,9664.28,17790.5,19576.7,18028.5,19728.5,18125.3,19848.7,18191.0,19919.1
1100.0,16093.0,9433.1,16272.5,9489.71,16300.5,9520.36,16359.4,9576.0,16453.3,9663.24,17786.3,19555.5,18040.2,19751.1,18142.1,19855.1,18184.1,19900.4
1120.0,16082.9,9426.1,16254.5,9494.06,16306.5,9508.37,16343.1,9577.68,16469.9,9666.66,17800.5,19572.6,18031.9,19750.3,18112.9,19850.3,18180.8,19912.4
1140.0,16067.4,9423.01,16257.8,9498.99,16292.7,9508.95,16359.6,9580.33,16453.5,9658.99,17808.1,19561.5,18030.8,19739.1,18109.3,19842.3,18179.0,19914.3
1160.0,16082.9,9432.07,16256.0,9498.35,16298.5,9504.88,16361.0,9576.65,16451.2,9665.5,17800.5,19556.7,18031.6,19741.0,18121.6,19850.4,18193.7,19907.2
1180.0,16085.9,9435.17,16263.3,9499.73,16288.6,9512.15,16360.6,9577.75,16463.3,9656.42,17794.1,19569.0,18030.8,19748.1,18106.2,19840.9,18195.8,19903.5
1200.0,16085.7,9426.93,16250.2,9493.51,16296.0,9506.5,16368.5,9573.17,16446.7,9662.31,17803.7,19558.6,18020.3,19749.7,18120.8,19845.4,18185.9,19922.1
1220.0,16141.6,9431.17,16326.8,9493.41,16370.2,9510.76,16435.4,9580.56,16548.3,9659.55,17833.3,19569.5,18060.0,19749.2,18185.1,19837.4,18256.3,19927.3
1240.0,16264.9,9453.17,16457.1,9525.79,16546.3,9543.5,16611.6,9596.45,16716.4,9678.45,18004.4,19623.6,18212.6,19806.4,18322.5,19918.4,18403.8,20024.1
1260.0,16336.6,9470.3,16545.4,9525.79,16628.0,9564.11,16685.2,9607.02,16818.3,9695.48,18059.5,19665.4,18287.7,19859.1,18407.7,19965.7,18497.1,20053.7
1280.0,16390.4,9492.42,16577.3,9564.15,16666.3,9575.77,16766.9,9625.82,16874.5,9699.35,18131.4,19682.3,18350.5,19890.6,18461.0,19989.5,18532.6,20084.3
