Time,HA_MISG1,HA_MISG2,HA_MISG3,HpA_MISG1,HpA_MISG2,HpA_MISG3
20,13367,16157.7,15098.7,21422.2,17149.1,17282.2
40,13371.5,16164.3,15095.5,21418.8,17163.9,17290.2
60,13357.9,16162.7,15105.6,21422.9,17157,17276.9
80,13349.4,16158.1,15090.8,21432.5,17164.5,17274.3
100,13362,16148.9,15096.4,21413.1,17154.5,17264.3
120,13362.9,16159.3,15100.1,21411.2,17151.9,17277.9
140,13358.1,16159.1,15087.7,21410,17156.6,17264.5
160,13362,16145.7,15092.4,21405.9,17160.5,17274.8
180,13358.3,16150.7,15101.3,21410.8,17147.7,17279.9
200,13346.9,16151.1,15099.8,21409.8,17153.4,17278.3
220,13346.8,16154.6,15091.9,21408.8,17139.4,17263.7
240,13354.1,16155.7,15089.2,21418.4,17149,17254.8
260,13356.2,16142.8,15077.9,21398.2,17144.7,17268.3
280,13353.1,16154,15086,21405.3,17131.2,17272.5
300,13352.2,16143.7,15075.3,21399.1,17137.5,17268.2
320,13351,16161.1,15070.1,21387.4,17130.9,17257.3
340,13347.4,16160.2,15067.3,21411.5,17120.3,17262.8
360,13344.1,16160.3,15066.1,21389.7,17120.8,17267.8
380,13354.4,16151.3,15062,21390.6,17122.4,17261.3
400,13343,16142,15062.1,21393,17114.2,17257.2
420,13365.4,16139.6,15091.4,21401.4,17122.1,17246
440,13352.2,16153,15069,21410.4,17127.4,17252.6
460,13357.4,16159.2,15077.8,21395.2,17122,17251.6
480,13348.4,16148.6,15061.5,21385.2,17124.2,17243.4
500,13353.6,16145.9,15069,21403,17116.1,17242.4
520,13354.2,16146.4,15073.6,21401.3,17111.3,17255
540,13357.6,16127,15077.3,21393.5,17109.1,17252.8
560,13355.7,16153.2,15069.8,21378.4,17138.4,17240.9
580,13359.4,16137,15064.5,21372,17113.2,17245
600,13347.8,16144.9,15073.9,21376.8,17111,17235.3
620,13350.4,16142.4,15064.3,21376.6,17119.8,17247.6
640,13351.8,16151.8,15074.9,21379.1,17122.8,17252.1
660,13358.8,16137.2,15072.4,21373.6,17112,17243.5
680,13347.2,16129.1,15066.2,21354.6,17112.2,17228.5
700,13342.2,16125.3,15066.1,21375.4,17103.4,17227.6
720,13366.6,16136.6,15056.9,21376.8,17095.7,17227.2
740,13349.8,16135.9,15078.5,21372.4,17101.3,17223.3
760,13339,16133.3,15069.6,21379,17107.7,17227.7
780,13360,16123.5,15074.4,21385.1,17108.4,17233.4
800,13349.6,16121.3,15045.2,21402.2,17102.9,17241
820,13346.8,16116.8,15069.8,21375.1,17102.3,17240.8
840,13354.2,16113.7,15077.8,21387,17108.8,17241.3
860,13347.6,16138.7,15068.3,21378.6,17103.3,17238.6
880,13350.5,16133,15063.9,21383.2,17115.8,17230.5
900,13342,16125.2,15053.7,21364.6,17105.3,17237.5
920,13353,16119.8,15067.9,21358.3,17095.5,17225.3
940,13347.1,16120.2,15065.7,21380.5,17089.6,17229
960,13352.1,16116.4,15069,21362.4,17090.4,17224.7
980,13341.2,16121.4,15069.8,21358.6,17098.6,17233.5
1000,13346.5,16134.8,15060.1,21375.7,17090.4,17230.7
1020,13341.4,16113,15083.2,21355.3,17091.4,17228.5
1040,13347.7,16118,15057.1,21341.1,17085.5,17214.5
1060,13351.7,16121.2,15064.5,21350.8,17095.9,17219
1080,13339.9,16116.3,15069,21364.1,17095.3,17218
1100,13341.8,16130.1,15073.9,21350,17083.8,17220.7
1120,13338.3,16128.2,15058.3,21348.5,17087.5,17218.3
1140,13341.7,16122.6,15069.4,21358.4,17095,17215.1
