Time,HA_MISG1,HpA_MISG1,HA_MISG2,HpA_MISG2,HA_MISG3,HpA_MISG3,HA_MISG4,HpA_MISG4,HA_MISG5,HpA_MISG5,HA_MISG6,HpA_MISG6,HA_MISG7,HpA_MISG7,HA_MISG8,HpA_MISG8,HA_MISG9,HpA_MISG9
20.0,13389.7,21160.9,13367.0,21422.2,13382.4,21519.3,13374.6,21573.2,13377.2,17741.2,13377.2,18010.7,13367.0,18080.1,16807.1,18157.5,13382.4,18250.2
40.0,13386.2,21149.0,13371.5,21418.8,13376.4,21522.9,13381.7,21574.1,13391.3,17747.3,13377.5,17999.7,13371.5,18072.7,16798.2,18165.7,13376.4,18226.0
60.0,13383.8,21138.8,13357.9,21422.9,13375.5,21525.8,13367.7,21572.2,13370.8,17765.1,13379.5,17990.8,13357.9,18074.6,16786.2,18142.8,13375.5,18254.4
80.0,13378.8,21130.7,13349.4,21432.5,13374.5,21514.2,13381.1,21574.0,13381.6,17759.8,13385.0,18014.2,13349.4,18075.5,16782.9,18151.2,13374.5,18242.5
100.0,13387.2,21131.0,13362.0,21413.1,13373.8,21510.3,13374.6,21573.4,13386.3,17755.8,13376.5,17999.4,13362.0,18079.0,16795.8,18154.8,13373.8,18258.7
120.0,13372.8,21119.9,13362.9,21411.2,13378.5,21523.2,13379.6,21587.7,13372.2,17773.5,13377.2,17990.1,13362.9,18060.6,16794.9,18149.2,13378.5,18232.3
140.0,13392.1,21109.7,13358.1,21410.0,13362.4,21516.0,13368.1,21585.0,13377.7,17767.5,13387.4,17989.7,13358.1,18069.5,16789.3,18161.2,13362.4,18226.0
160.0,13378.0,21106.7,13362.0,21405.9,13380.3,21497.6,13364.0,21588.7,13376.2,17757.4,13387.6,17975.8,13362.0,18054.9,16779.2,18156.0,13380.3,18225.8
180.0,13386.1,21095.1,13358.3,21410.8,13379.2,21512.7,13382.8,21584.2,13369.8,17779.5,13377.4,17972.9,13358.3,18074.2,16807.3,18167.1,13379.2,18234.1
200.0,13388.7,21090.1,13346.9,21409.8,13374.2,21518.3,13360.2,21586.0,13373.3,17791.5,13392.2,17982.6,13346.9,18071.9,16787.1,18154.2,13374.2,18238.6
220.0,13383.5,21094.5,13346.8,21408.8,13366.8,21498.1,13372.2,21591.3,13384.7,17778.2,13385.7,17992.7,13346.8,18070.5,16793.0,18149.1,13366.8,18241.0
240.0,13381.8,21078.2,13354.1,21418.4,13366.9,21513.8,13370.6,21582.7,13374.9,17779.4,13381.3,17978.1,13354.1,18063.2,16787.8,18155.2,13366.9,18222.3
260.0,13371.3,21096.7,13356.2,21398.2,13368.9,21501.3,13365.1,21567.5,13387.2,17795.8,13373.5,17997.4,13356.2,18074.5,16783.9,18161.7,13368.9,18226.4
